Continuous: Disulfiram (low) + Chemo,S(0%) Rep1,S(0%) Rep2,S(0%) Rep3,R(0%) Rep1,R(0%) Rep2,R(0%) Rep3,S(0.25%) Rep1,S(0.25%) Rep2,S(0.25%) Rep3,R(0.25%) Rep1,R(0.25%) Rep2,R(0.25%) Rep3,S(0.5%) Rep1,S(0.5%) Rep2,S(0.5%) Rep3,R(0.5%) Rep1,R(0.5%) Rep2,R(0.5%) Rep3,S(0.75%) Rep1,S(0.75%) Rep2,S(0.75%) Rep3,R(0.75%) Rep1,R(0.75%) Rep2,R(0.75%) Rep3,S(1%) Rep1,S(1%) Rep2,S(1%) Rep3,R(1%) Rep1,R(1%) Rep2,R(1%) Rep3
         0,     11659,     12182,     12315,        76,        77,        84,     17580,     17944,     17633,      3532,      3692,      3505,     12407,     11928,     12626,      6566,      6397,      7525,      6816,      6358,      6213,     10164,     11061,      9929,       725,       685,       706,     12254,     11105,     11113
         4,     24333,     24304,     25531,       184,       202,       209,     33350,     33182,     33622,      3693,      3803,      3882,     23818,     22752,     24717,      7124,      7364,      7919,     12266,     11621,     11451,     12094,     13007,     11800,       657,       555,       572,     15505,     14511,     13729
         7,     46061,     48181,     49203,       232,       286,       270,     69804,     73793,     70685,      3584,      3689,      3738,     57025,     57129,     57994,      7073,      7747,      8084,     31571,     29462,     29578,     13391,     14427,     13256,       703,       728,       686,     19055,     17717,     16865
        11,     56447,     58911,     61156,       287,       361,       336,     88522,     93284,     92599,      3351,      3534,      3529,     74962,     73495,     77996,      6742,      7294,      7792,     41621,     39365,     38885,     13134,     14168,     13533,       863,       807,       775,     21486,     19353,     18943
        14,     70556,     71768,     73275,       351,       415,       399,    104143,    109679,    111032,      3165,      3449,      3296,     89345,     84244,     91773,      6486,      6973,      7356,     49780,     45394,     44402,     12296,     13176,     13177,       845,       852,       800,     22179,     20188,     19945
        18,     74640,     75117,     80166,       359,       446,       461,    108177,    118053,    117828,      3149,      3369,      3249,     95299,     88624,     97017,      6387,      6839,      7425,     53635,     47124,     46836,     12393,     12979,     12979,       853,       792,       790,     22428,     19826,     19398
        21,     71428,     73541,     77555,       361,       454,       485,    124041,    130647,    128505,      3087,      3220,      2993,    101034,     95171,    108847,      6057,      6347,      7053,     55038,     47253,     47220,     10582,     11460,     12314,       788,       746,       780,     21034,     19798,     18102
        25,     64608,     65908,     72050,       374,       427,       450,    139774,    139946,    134300,      2992,      3067,      2730,    112363,    103609,    121946,      5908,      5640,      6586,     59306,     49389,     51281,      8988,      9823,     11187,       808,       776,       760,     20138,     19377,     17209
        28,     58586,     60202,     65006,       359,       421,       432,    136276,    138167,    135023,      2682,      2952,      2458,    104480,     98465,    119080,      5336,      5097,      5932,     54233,     45446,     46104,      7791,      8646,     10595,       866,       795,       756,     19574,     19036,     16753
