Continuous: Chemo,S(0%) Rep1,S(0%) Rep2,S(0%) Rep3,R(0%) Rep1,R(0%) Rep2,R(0%) Rep3,S(0.25%) Rep1,S(0.25%) Rep2,S(0.25%) Rep3,R(0.25%) Rep1,R(0.25%) Rep2,R(0.25%) Rep3,S(0.5%) Rep1,S(0.5%) Rep2,S(0.5%) Rep3,R(0.5%) Rep1,R(0.5%) Rep2,R(0.5%) Rep3,S(0.75%) Rep1,S(0.75%) Rep2,S(0.75%) Rep3,R(0.75%) Rep1,R(0.75%) Rep2,R(0.75%) Rep3,S(1%) Rep1,S(1%) Rep2,S(1%) Rep3,R(1%) Rep1,R(1%) Rep2,R(1%) Rep3
         0,     11217,     12392,     13193,        87,        84,       104,     18020,     16860,     18853,      3904,      3594,      3576,     12560,     12286,     11561,      5562,      6954,      6443,      6610,      6472,      7227,     11186,     11658,     10600,       659,       727,       679,     11436,     12546,     12006
         4,     24581,     25227,     26745,       210,       226,       240,     32711,     32780,     35483,      3917,      3951,      3975,     25495,     23654,     21920,      6359,      7733,      7234,     12562,     12042,     13904,     12918,     13240,     12664,       536,       557,       558,     14148,     15026,     14613
         7,     51769,     52913,     55074,       303,       321,       308,     72438,     71668,     77746,      3827,      3865,      3864,     64695,     59421,     55284,      6732,      8278,      7574,     35954,     34496,     37510,     15360,     15736,     14768,       662,       659,       727,     19054,     19592,     19351
        11,     67285,     68032,     72609,       342,       390,       394,    100031,     97642,    104002,      3809,      3821,      3610,     90664,     86835,     80113,      6732,      8372,      7718,     54582,     51078,     55729,     16023,     16681,     15453,       814,       816,       836,     22744,     23618,     23655
        14,     95367,     88226,     98419,       457,       453,       539,    126257,    120659,    135694,      3894,      3887,      3698,    113984,    108178,     98440,      6606,      8372,      8149,     71209,     67316,     73984,     16886,     17920,     16291,       899,       888,       833,     28250,     29572,     29524
        18,    102903,     97533,    109410,       475,       529,       579,    134991,    129443,    147207,      3868,      3751,      3674,    124530,    116410,    104689,      6554,      8316,      7967,     76513,     74088,     80877,     17153,     18418,     16316,       890,      1019,       939,     29509,     32385,     31819
        21,    111061,    104343,    123036,       559,       589,       674,    157813,    150079,    162873,      3724,      3561,      3317,    142650,    129455,    121906,      6498,      8202,      7944,     84163,     84365,     92605,     16983,     18745,     16119,       943,      1021,       918,     33305,     36760,     36601
        25,    110882,    105719,    120212,       560,       654,       690,    180824,    175707,    187017,      3633,      3587,      3141,    166836,    145545,    137486,      6432,      7884,      7895,     92737,     90073,    102164,     17100,     19262,     16084,      1005,      1089,      1065,     37188,     42487,     43323
        28,    106478,    101162,    116531,       549,       653,       706,    185510,    178194,    182507,      3392,      3404,      2851,    169140,    150910,    139130,      6424,      8255,      7772,     88617,     86694,     97555,     17290,     19324,     15976,      1088,      1136,      1146,     41600,     48575,     50896
