Continuous: Untreated,S(0%) Rep1,S(0%) Rep2,S(0%) Rep3,R(0%) Rep1,R(0%) Rep2,R(0%) Rep3,S(0.25%) Rep1,S(0.25%) Rep2,S(0.25%) Rep3,R(0.25%) Rep1,R(0.25%) Rep2,R(0.25%) Rep3,S(0.5%) Rep1,S(0.5%) Rep2,S(0.5%) Rep3,R(0.5%) Rep1,R(0.5%) Rep2,R(0.5%) Rep3,S(0.75%) Rep1,S(0.75%) Rep2,S(0.75%) Rep3,R(0.75%) Rep1,R(0.75%) Rep2,R(0.75%) Rep3,S(1%) Rep1,S(1%) Rep2,S(1%) Rep3,R(1%) Rep1,R(1%) Rep2,R(1%) Rep3
         0,     15917,     16575,     16519,       193,       169,       205,     22988,     23971,     25010,      5045,      5333,      5727,     14521,     17205,     14524,     10662,     10377,      9734,      7781,      8369,      8222,     15239,     14343,     13491,       740,       763,       716,      7739,      8065,      8314
         4,     60732,     62915,     62974,       437,       433,       438,     79792,     77928,     78988,      6643,      6489,      6795,     55816,     57077,     51691,     13465,     13986,     12960,     31183,     35782,     33511,     20558,     19199,     19270,       769,       988,       948,     11438,     12200,     12235
         7,    112095,    114457,    119382,       616,       608,       660,    141618,    134208,    132815,      6664,      6548,      6679,    102953,    102778,     96625,     14246,     14950,     13501,     65858,     70658,     68103,     21782,     20791,     21252,      1168,      1324,      1405,     12762,     15119,     14972
        11,    201267,    205870,    214812,       886,       921,       990,    251464,    241457,    228707,      6750,      6530,      6393,    184763,    177695,    178425,     15372,     16479,     14160,    128904,    133987,    132435,     24115,     24652,     25077,      1547,      1900,      1850,     16140,     21338,     20749
        14,    270195,    277048,    276838,      1015,      1078,      1043,    317369,    317582,    312650,      7214,      7096,      6852,    254552,    238268,    238072,     16214,     17713,     15525,    175876,    175562,    178881,     23935,     25610,     26952,      1785,      2229,      2202,     18963,     25973,     25040
        18,    368130,    393378,    393994,      1210,      1352,      1290,    439530,    472051,    429138,      7797,      7922,      6926,    372534,    355293,    355024,     20074,     22889,     18821,    295770,    277495,    283140,     32338,     36302,     36608,      2217,      2603,      2505,     31651,     44088,     39825
        21,    445997,    450199,    461380,      1280,      1337,      1313,    509926,    573187,    500029,      7017,      7172,      6152,    446651,    446684,    440477,     18432,     21854,     17549,    349999,    351956,    342051,     29283,     35489,     35504,      2007,      2180,      2134,     37344,     50118,     46416
        25,    503443,    525128,    525378,      1337,      1402,      1387,    591345,    632854,    558957,      6719,      6489,      5803,    529128,    518130,    508723,     18443,     21846,     16785,    431506,    419334,    428768,     30181,     38530,     38284,      1902,      2357,      2039,     52889,     68710,     63195
        28,    550120,    571565,    559701,      1372,      1439,      1394,    652022,    677986,    612567,      6526,      6050,      5493,    586648,    577433,    566231,     17133,     21566,     15675,    492913,    479923,    490974,     29557,     38907,     39296,      2597,      3003,      3299,     63879,     82833,     75916
